# x,y,susceptibility,density
-1.679750000000000000e+06,1.743500000000000000e+06,1.745958235012001758e-02,-1.518116220859811847e+02
-1.679500000000000000e+06,1.743500000000000000e+06,1.774796582091497932e-02,-1.508109781642640996e+02
-1.679250000000000000e+06,1.743500000000000000e+06,1.793423624036090402e-02,-1.495859546015338992e+02
-1.679000000000000000e+06,1.743500000000000000e+06,1.817423783913789392e-02,-1.464759253689280172e+02
-1.678750000000000000e+06,1.743500000000000000e+06,1.823209398132841219e-02,-1.453703833293738228e+02
-1.678500000000000000e+06,1.743500000000000000e+06,1.788154516471991695e-02,-1.446887406057496150e+02
-1.678250000000000000e+06,1.743500000000000000e+06,1.769728061748983283e-02,-1.406437343836820446e+02
-1.678000000000000000e+06,1.743500000000000000e+06,1.758880452573725883e-02,-1.395255898297361341e+02
-1.677750000000000000e+06,1.743500000000000000e+06,1.722124973546586280e-02,-1.327732819862568192e+02
-1.677500000000000000e+06,1.743500000000000000e+06,1.810021355462668180e-02,-1.234496286633861644e+02
-1.677250000000000000e+06,1.743500000000000000e+06,1.889543637997129211e-02,-1.169294102942375559e+02
-1.677000000000000000e+06,1.743500000000000000e+06,1.991221138025360549e-02,-1.080721418522336705e+02
-1.676750000000000000e+06,1.743500000000000000e+06,2.167109594180156862e-02,-8.488465211332368199e+01
-1.676500000000000000e+06,1.743500000000000000e+06,2.289057678254338701e-02,-7.394939197405525988e+01
-1.676250000000000000e+06,1.743500000000000000e+06,2.312156443534960082e-02,-7.022171183357266955e+01
-1.676000000000000000e+06,1.743500000000000000e+06,2.380517076490289152e-02,-6.512650690885311633e+01
-1.675750000000000000e+06,1.743500000000000000e+06,2.570715471184054080e-02,-5.523664126472922931e+01
-1.675500000000000000e+06,1.743500000000000000e+06,2.663243291447356387e-02,-3.710517997590235950e+01
-1.675250000000000000e+06,1.743500000000000000e+06,2.765127003449802112e-02,-2.888465043093654572e+01
-1.675000000000000000e+06,1.743500000000000000e+06,3.023531189009501241e-02,-2.445764993909966734e+01
-1.674750000000000000e+06,1.743500000000000000e+06,3.192678431269618811e-02,-2.195956866197715840e+01
-1.674500000000000000e+06,1.743500000000000000e+06,3.264846395734707918e-02,-1.974414626569671327e+01
-1.674250000000000000e+06,1.743500000000000000e+06,3.360370984837446340e-02,-1.805599673439607500e+01
-1.674000000000000000e+06,1.743500000000000000e+06,3.458559486589946053e-02,-1.723797682578708645e+01
-1.673750000000000000e+06,1.743500000000000000e+06,3.484219737639313030e-02,-1.725213274030548405e+01
-1.673500000000000000e+06,1.743500000000000000e+06,3.522014853099003640e-02,-1.699063234390189336e+01
-1.673250000000000000e+06,1.743500000000000000e+06,3.690271776330461551e-02,-1.654279687484378769e+01
